,Unnamed: 0,comment_text,id,identity_hate,insult,obscene,set,severe_toxic,threat,toxic,toxicity
5540,86370,  i moved it to match the product logo at least there should be something mentioning how windows phone and windows mobile is related  talk contributions changing the world one edit at a time ,e6fc78bac046fc8d,0.0,0.0,0.0,train,0.0,0.0,0.0,0
126471,141719,road speed  side says road speed is that km h  artcle says mph which converts to km h so just wondering  not sure,f63f6570a90208cb,0.0,0.0,0.0,train,0.0,0.0,0.0,0
18024,34399, baby got back section  oh my god becky  look at her butt it is so big  uh she looks like one of those rap guys girlfriends  but  uh  y know  uh who understands those rap guys uh they only talk to her because she looks like a total prostitute  okay i mean her butt it s just so big  uh i can t believe it s just so round it s like out there i mean  uh  gross look  uh  she s just so black i like big butts and i can not lie you other brothers can t deny that when a girl walks in with an itty bitty waste and a round thing in your face you get sprung wanna pull up front cuz you notice that butt was stuffed deep in the jeans she s wearing i m hooked and i can t stop staring oh  baby i wanna get with ya  and take your picture my homeboys tried to warn me but with that butt you got makes me so horny ooh  rump of smooth skin you say you wanna get in my benz well use me use me cuz you aint that average groupy i ve seen them dancin to hell with romancin  sweat  wet  got it goin like a turbo vette i m tired of magazines saying flat butts are the thing take the average black man and ask him that she gotta pack much back so fellas has your girlfriend got the butt  tell her to shake it  shake that healthy butt baby got back i like em round and big and when i m throwin a gig i just can t help myself i m actin like an animal now here s my scandal i wanna get you home and uh  double up uh uh i aint talkin bout playboy cuz silicone parts are made for toys i wann em real thick and juicy so find that juicy double mixalot s in trouble beggin for a piece of that bubble so i m lookin  at rock videos knockin  these bimbos walkin  like hoes you can have them bimbos i ll keep my women like flo jo a word to the thick soul sistas i wanna get with ya i won t cus or hit ya but i gotta be straight when i say i wanna uh till the break of dawn baby got it goin on a lot of won t like this song cuz them punks like to hit it and quit it and i d rather stay and play cuz i m long and i m strong and i m down to get the friction on so ladies if you wanna roll my mercedes then turn around stick it out even white boys got to shout baby got back baby got back yeah baby when it comes to females cosmo ain t got nothin to do with my selection uh uh only if she s so your girlfriend rolls a honda playin  workout tapes by fonda but fonda ain t got a motor inna  back of her honda my anaconda don t want none unless you ve got buns hon you can do side bends or sit ups  but please don t lose that butt some brothers wanna play that hard role  and tell you that the butt ain t gold so they toss it and leave it and i pull up quick to retrieve it so cosmo says you re fat well i ain t down with that cuz your waste is small and your curves are kickin and i m thinkin bout stickin to the beanpole dames in the magazines you aint it miss thing give me a sista i can t resist her red beans and rice didn t miss her some knucklehead tried to dis cuz his girls are on my list he had game but he chose to hit  em and i pull up quick to get wit  em so ladies if the butt is round and you wanna triple x throw down dial mixalot and kick them nasty thoughts baby got back baby got back little in the middle but she got much back ,5be21e25bd1664e1,0.0,0.0,0.0,train,0.0,0.0,1.0,1
108368,24759,me again  given that there are some gaping holes left to be filled between what we have already agreed  and what needs to be agreed to finish the job  where do you thing we should go from here  cheers ,417b337daa32c64d,0.0,0.0,0.0,train,0.0,0.0,0.0,0
14063,158867,  you believe that the correctness of the image caption should be measured against what you believe is an accurate paraphrase rather than the actual language of the source whose meaning is being represented  so  who appointed you god ,f511b7b52d94652d,0.0,0.0,0.0,train,0.0,0.0,0.0,0
65245,2855,ask chris hypocrite org how it happened  he answer to my e mail to  unblock en l lists wikimedia org the time differences are because local timing on wednesday march andrew serafin wrote in my first note i forgot to mention my ip address thank you this address has now been  block  for your violation of the block  placed on serafin and the block on the serafin account has been extended so richard it is wasting of you time and mine  those who like revenges  sense of power  in fact only the surrogate of power  or have similar sickness will in present system parasite on good will and effort of others  wikipedia need work and redactors not the cranky sheriffs  self qualified teutonic knight etc  i am not against free editions  different point of views but i am against exchange blows  the present complicated snake pit must be burn up  andrew,07b4c74a0bddbe18,0.0,0.0,0.0,train,0.0,0.0,0.0,0
9984,109031,  she obviously has personal beliefs on those issues  but there s not any evidence they inform her political positions we have evidence to the contrary,46edf27da53e38fd,0.0,0.0,0.0,train,0.0,0.0,0.0,0
2486,84797,  excepting one edit in ,e2e96808935bab71,0.0,0.0,0.0,train,0.0,0.0,0.0,0
34938,126593, m never touching hawaii hotspot again  at least for,a5181ac7f6e91f82,0.0,0.0,0.0,train,0.0,0.0,0.0,0
148192,140492,well  the last time i was there  the board with the name of the village was standing  maybe not any more  regards ,efd606d4bf7715f3,0.0,0.0,0.0,train,0.0,0.0,0.0,0
78473,81401,follow the money to wikipedia from the circumcision lobby jimbo sold out mankind ,d9bd2771766bf574,0.0,0.0,0.0,train,0.0,0.0,0.0,0
